,n,p,k,sigma,lambda,method,time,error,numiters
1170,500,250,125,1,64.75778644399308,AT,0.20814752578735352,0.02519854403497138,137
1171,500,250,125,1,64.75778644399308,LLM,0.19014954566955566,0.022071335487126528,93
1172,500,250,125,1,0,AT,0.251176118850708,0.008531138558789354,170
1173,500,250,125,1,0,LLM,0.32021284103393555,0.00853599118938978,171
1174,500,250,125,1,86.48425839196861,AT,0.2351675033569336,0.03166967500870186,152
1175,500,250,125,1,86.48425839196861,LLM,0.16911959648132324,0.0285035465174345,88
1176,500,250,125,1,0,AT,0.24217009544372559,0.009730901785485087,156
1177,500,250,125,1,0,LLM,0.2972099781036377,0.009782593559328026,152
1178,500,250,125,1,66.8906217657424,AT,0.19713926315307617,0.024710112000216014,129
1179,500,250,125,1,66.8906217657424,LLM,0.18813467025756836,0.021323771549873582,97
1180,500,250,125,1,0,AT,0.24317121505737305,0.008799525292497317,154
1181,500,250,125,1,0,LLM,0.3192250728607178,0.008883638315932174,167
1182,500,250,125,1,75.51712422166312,AT,0.22816085815429688,0.03362871560347003,145
1183,500,250,125,1,75.51712422166312,LLM,0.1681206226348877,0.03032630659509661,91
1184,500,250,125,1,0,AT,0.25317907333374023,0.008850781601257698,163
1185,500,250,125,1,0,LLM,0.323228120803833,0.008849354416719942,162
1186,500,250,125,1,70.84196895717035,AT,0.17912673950195312,0.025497056523083577,125
1187,500,250,125,1,70.84196895717035,LLM,0.17812752723693848,0.02236884340909907,95
1188,500,250,125,1,0,AT,0.23916840553283691,0.009352961985901517,157
1189,500,250,125,1,0,LLM,0.29320764541625977,0.009351758425083977,160
1190,500,250,125,1,74.38602777657638,AT,0.21014904975891113,0.03244789403601735,128
1191,500,250,125,1,74.38602777657638,LLM,0.1841292381286621,0.028799645529977894,94
1192,500,250,125,1,0,AT,0.2421708106994629,0.008972233738413004,168
1193,500,250,125,1,0,LLM,0.2972099781036377,0.008970605139218314,158
1194,500,250,125,1,67.37110878018221,AT,0.19814205169677734,0.024773178960735224,127
1195,500,250,125,1,67.37110878018221,LLM,0.1911330223083496,0.021535540936008866,96
1196,500,250,125,1,0,AT,0.23416590690612793,0.009221750378172642,162
1197,500,250,125,1,0,LLM,0.3142216205596924,0.009240225856033638,163
1198,500,250,125,1,61.045531384962636,AT,0.20814871788024902,0.024054860818362653,138
1199,500,250,125,1,61.045531384962636,LLM,0.1821277141571045,0.020420310496877904,96
1200,500,250,25,1,0,AT,0.26218628883361816,0.020216329729913066,180
1201,500,250,25,1,0,LLM,0.32924413681030273,0.020212776775010894,180
1202,500,250,25,1,58.95154908462312,AT,0.25116515159606934,0.014160089209647158,156
1203,500,250,25,1,58.95154908462312,LLM,0.15111994743347168,0.012862193965604148,74
1204,500,250,25,1,0,AT,0.2661745548248291,0.01949268063965826,169
1205,500,250,25,1,0,LLM,0.3642568588256836,0.018921912208836312,180
1206,500,250,25,1,63.04333673948879,AT,0.24417448043823242,0.013092678185589417,157
1207,500,250,25,1,63.04333673948879,LLM,0.1291041374206543,0.012169550050314228,71
1208,500,250,25,1,0,AT,0.24515891075134277,0.019138874262145833,165
1209,500,250,25,1,0,LLM,0.3122217655181885,0.019149397682369198,165
1210,500,250,25,1,54.94358196642015,AT,0.21915483474731445,0.014909103183215821,145
1211,500,250,25,1,54.94358196642015,LLM,0.14710211753845215,0.011602030942585962,72
