,n,p,k,sigma,lambda,method,time,error,numiters
1095,100,200,160,1,26.605782415241446,LLM,0.16361546516418457,0.903541343135718,307
1096,100,200,160,1,0,AT,0.06754755973815918,0.744606302217082,156
1097,100,200,160,1,0,LLM,0.08355879783630371,0.7446061668055572,156
1098,100,200,160,1,25.53884684149481,AT,0.13809704780578613,0.9087115255093757,301
1099,100,200,160,1,25.53884684149481,LLM,0.1746232509613037,0.9162748749552494,338
1100,100,200,160,1,0,AT,0.06804704666137695,0.6767111372966935,161
1101,100,200,160,1,0,LLM,0.08256268501281738,0.6767111579354902,161
1102,100,200,160,1,31.35884780063562,AT,0.15761137008666992,0.9774754806089367,373
1103,100,200,160,1,31.35884780063562,LLM,0.22616076469421387,0.9884883125450941,420
1104,100,200,160,1,0,AT,0.06504440307617188,0.7636525091884687,175
1105,100,200,160,1,0,LLM,0.08255791664123535,0.7636524760611196,175
1106,100,200,160,1,32.349543311801796,AT,0.1410996913909912,0.9570210531756159,310
1107,100,200,160,1,32.349543311801796,LLM,0.20414495468139648,0.9641507297790688,374
1108,100,200,160,1,0,AT,0.07055020332336426,0.672012599050524,163
1109,100,200,160,1,0,LLM,0.0790553092956543,0.6720125314094679,161
1110,100,200,160,1,26.571140174413323,AT,0.17612385749816895,0.8969444306148481,442
1111,100,200,160,1,26.571140174413323,LLM,0.24267125129699707,0.9038656618373717,490
1112,100,200,160,1,0,AT,0.07104849815368652,0.6082766479686295,162
1113,100,200,160,1,0,LLM,0.08756208419799805,0.6082773737039767,162
